country,max_pop
Sao Tome and Principe,199579
Iceland,301931
Djibouti,496374
Equatorial Guinea,551201
Bahrain,708573
Comoros,710960
Montenegro,720230
Reunion,798094
Swaziland,1133066
Trinidad and Tobago,1191336
Mauritius,1250882
Gabon,1454867
Guinea-Bissau,1472041
Botswana,1639131
Gambia,1688359
Slovenia,2011612
Lesotho,2046772
Namibia,2055080
Kuwait,2505559
Jamaica,2780132
Mongolia,2874127
Liberia,3193942
Oman,3204897
Panama,3242173
Mauritania,3270065
Uruguay,3447496
Albania,3600523
"Congo, Rep.",3800610
Lebanon,3921278
Puerto Rico,3942491
West Bank and Gaza,4018332
Ireland,4109086
New Zealand,4115771
Costa Rica,4133884
Central African Republic,4369038
Croatia,4494013
Bosnia and Herzegovina,4552198
Singapore,4553009
Norway,4627926
Eritrea,4906585
Finland,5238460
Slovak Republic,5447502
Denmark,5468120
Nicaragua,5675356
Togo,5701579
Libya,6036914
Jordan,6053193
Sierra Leone,6144562
Israel,6426679
Paraguay,6667147
El Salvador,6939688
"Hong Kong, China",6980412
Honduras,7483763
Switzerland,7554661
Benin,8078314
Austria,8199783
Burundi,8390505
Haiti,8502814
Rwanda,8860588
Bulgaria,8971958
Sweden,9031088
Somalia,9118773
Bolivia,9119152
Dominican Republic,9319622
Guinea,9947814
Chad,10238807
Tunisia,10276158
Czech Republic,10315702
Serbia,10336594
Belgium,10392226
Portugal,10642836
Hungary,10705535
Greece,10706290
Cuba,11416987
Zambia,11746035
Mali,12031795
Senegal,12267493
Zimbabwe,12311143
Angola,12420476
Guatemala,12572928
Niger,12894865
Malawi,13327079
Ecuador,13755680
Cambodia,14131858
Burkina Faso,14326203
Chile,16284741
Netherlands,16570613
Cameroon,17696293
Cote d'Ivoire,18013409
Madagascar,19167654
Syria,19314747
Mozambique,19951656
Sri Lanka,20378239
Australia,20434176
"Yemen, Rep.",22211743
Romania,22797027
Ghana,22873338
Taiwan,23174294
"Korea, Dem. Rep.",23301725
Malaysia,24821286
Venezuela,26084662
Iraq,27499638
Saudi Arabia,27601038
Peru,28674757
Nepal,28901790
Uganda,29170398
Afghanistan,31889923
Algeria,33333216
Canada,33390141
Morocco,33757175
Kenya,35610177
Tanzania,38139640
Poland,38654957
Argentina,40301927
Spain,40448191
Sudan,42292929
Colombia,44227550
South Africa,44433622
Myanmar,47761980
"Korea, Rep.",49044790
Italy,58147733
United Kingdom,60776238
France,61083916
"Congo, Dem. Rep.",64606759
Thailand,65068149
Iran,69453570
Turkey,71158647
Ethiopia,76511887
Egypt,80264543
Germany,82400996
Vietnam,85262356
Philippines,91077287
Mexico,108700891
Japan,127467972
Nigeria,135031164
Bangladesh,150448339
Pakistan,169270617
Brazil,190010647
Indonesia,223547000
United States,301139947
India,1110396331
China,1318683096
